source,month,risk_mode,rolling_7d_pct,rolling_14d_pct,rolling_30d_pct,rolling_60d_pct,target_5_30d,target_8_30d,target_10_30d,target_10_weekly
canonical,2023-03,0.75pct_equity,0.54,1.07,2.31,4.62,False,False,False,False
canonical,2023-04,0.75pct_equity,0.13,0.27,0.58,1.16,False,False,False,False
canonical,2023-05,0.75pct_equity,0.48,0.96,2.07,4.13,False,False,False,False
canonical,2023-06,0.75pct_equity,0.02,0.04,0.08,0.17,False,False,False,False
canonical,2023-07,0.75pct_equity,0.05,0.1,0.21,0.42,False,False,False,False
canonical,2023-08,0.75pct_equity,0.31,0.62,1.33,2.66,False,False,False,False
canonical,2023-09,0.75pct_equity,0.61,1.22,2.62,5.24,False,False,False,False
canonical,2023-10,0.75pct_equity,0.99,1.98,4.27,8.54,False,False,False,False
canonical,2023-11,0.75pct_equity,0.01,0.02,0.04,0.07,False,False,False,False
canonical,2023-12,0.75pct_equity,0.82,1.63,3.51,7.02,False,False,False,False
canonical,2024-01,0.75pct_equity,0.19,0.39,0.83,1.66,False,False,False,False
canonical,2024-02,0.75pct_equity,0.18,0.36,0.77,1.55,False,False,False,False
canonical,2024-03,0.75pct_equity,1.16,2.32,5.0,10.0,False,False,False,False
canonical,2024-04,0.75pct_equity,1.26,2.52,5.43,10.86,True,False,False,False
canonical,2024-05,0.75pct_equity,1.36,2.73,5.87,11.73,True,False,False,False
canonical,2024-06,0.75pct_equity,-0.58,-1.17,-2.51,-5.02,False,False,False,False
canonical,2024-07,0.75pct_equity,1.93,3.86,8.3,16.59,True,True,False,False
canonical,2024-08,0.75pct_equity,0.17,0.34,0.72,1.45,False,False,False,False
canonical,2024-09,0.75pct_equity,0.88,1.76,3.78,7.55,False,False,False,False
canonical,2024-10,0.75pct_equity,0.42,0.84,1.8,3.6,False,False,False,False
canonical,2024-11,0.75pct_equity,1.59,3.18,6.84,13.68,True,False,False,False
canonical,2024-12,0.75pct_equity,0.29,0.59,1.27,2.53,False,False,False,False
canonical,2025-01,0.75pct_equity,1.07,2.14,4.61,9.21,False,False,False,False
canonical,2025-02,0.75pct_equity,0.43,0.86,1.84,3.68,False,False,False,False
canonical,2025-03,0.75pct_equity,1.26,2.52,5.41,10.82,True,False,False,False
canonical,2025-04,0.75pct_equity,5.9,11.79,25.36,50.71,True,True,True,False
canonical,2025-05,0.75pct_equity,5.22,10.43,22.43,44.87,True,True,True,False
canonical,2025-06,0.75pct_equity,1.72,3.45,7.41,14.82,True,False,False,False
canonical,2025-07,0.75pct_equity,1.62,3.24,6.98,13.95,True,False,False,False
canonical,2025-08,0.75pct_equity,0.55,1.11,2.38,4.76,False,False,False,False
canonical,2025-09,0.75pct_equity,4.21,8.42,18.11,36.22,True,True,True,False
canonical,2025-10,0.75pct_equity,6.03,12.06,25.93,51.86,True,True,True,False
canonical,2025-11,0.75pct_equity,2.71,5.42,11.64,23.29,True,True,True,False
canonical,2025-12,0.75pct_equity,2.34,4.68,10.07,20.14,True,True,True,False
canonical,2020-01,1.00pct_equity,0.48,0.95,2.05,4.09,False,False,False,False
canonical,2020-02,1.00pct_equity,0.74,1.47,3.17,6.33,False,False,False,False
canonical,2020-03,1.00pct_equity,2.22,4.44,9.54,19.09,True,True,False,False
canonical,2020-04,1.00pct_equity,0.92,1.84,3.95,7.9,False,False,False,False
canonical,2020-05,1.00pct_equity,0.71,1.41,3.04,6.08,False,False,False,False
canonical,2020-06,1.00pct_equity,0.42,0.83,1.79,3.57,False,False,False,False
canonical,2020-07,1.00pct_equity,1.9,3.81,8.18,16.37,True,True,False,False
canonical,2020-08,1.00pct_equity,1.74,3.49,7.5,15.0,True,False,False,False
canonical,2020-09,1.00pct_equity,0.29,0.58,1.24,2.48,False,False,False,False
canonical,2020-10,1.00pct_equity,0.32,0.64,1.38,2.76,False,False,False,False
canonical,2020-11,1.00pct_equity,1.41,2.82,6.06,12.13,True,False,False,False
canonical,2020-12,1.00pct_equity,1.21,2.43,5.22,10.44,True,False,False,False
canonical,2021-01,1.00pct_equity,0.57,1.14,2.44,4.88,False,False,False,False
canonical,2021-02,1.00pct_equity,1.28,2.56,5.49,10.99,True,False,False,False
canonical,2021-03,1.00pct_equity,0.33,0.65,1.4,2.8,False,False,False,False
canonical,2021-04,1.00pct_equity,0.71,1.42,3.05,6.1,False,False,False,False
canonical,2021-05,1.00pct_equity,0.56,1.12,2.4,4.81,False,False,False,False
canonical,2021-06,1.00pct_equity,0.44,0.89,1.91,3.82,False,False,False,False
canonical,2021-07,1.00pct_equity,0.77,1.53,3.3,6.6,False,False,False,False
canonical,2021-08,1.00pct_equity,1.26,2.53,5.44,10.87,True,False,False,False
canonical,2021-09,1.00pct_equity,0.19,0.38,0.82,1.63,False,False,False,False
canonical,2021-10,1.00pct_equity,0.12,0.24,0.51,1.02,False,False,False,False
canonical,2021-11,1.00pct_equity,1.17,2.34,5.03,10.05,True,False,False,False
canonical,2021-12,1.00pct_equity,0.32,0.64,1.37,2.74,False,False,False,False
canonical,2022-01,1.00pct_equity,1.04,2.08,4.47,8.94,False,False,False,False
canonical,2022-02,1.00pct_equity,0.71,1.41,3.03,6.06,False,False,False,False
canonical,2022-03,1.00pct_equity,1.27,2.54,5.46,10.92,True,False,False,False
canonical,2022-04,1.00pct_equity,0.62,1.25,2.68,5.37,False,False,False,False
canonical,2022-05,1.00pct_equity,0.75,1.5,3.23,6.45,False,False,False,False
canonical,2022-06,1.00pct_equity,0.37,0.73,1.58,3.15,False,False,False,False
